event	original_label	abstractness_combination	rating	majority_multiclass	distribution_multiclass	majority_binary	distribution_binary
aristocrat means opponent	implausible	m-m-m	[1, 5, 1, 1, 4, 1, 1, 1, 1, 4]	unsure	[70.0, 0.0, 20.0, 10.0]	0	[30.0, 70.0]
armada seeks understanding	implausible	m-m-a	[5, 4, 4, 4, 4, 4, 2, 5, 4]	unsure	[0.0, 11.11111111111111, 66.66666666666666, 22.22222222222222]	1	[88.88888888888889, 11.11111111111111]
army infests degeneration	implausible	c-m-a	[1, 5, 2, 2, 1, 4, 4, 4, 1]	unsure	[33.33333333333333, 22.22222222222222, 33.33333333333333, 11.11111111111111]	unsure	[44.44444444444444, 55.55555555555556]
army restructures courage	implausible	c-a-a	[5, 5, 4, 1, 2, 5, 4, 2, 2, 5]	unsure	[10.0, 30.0, 20.0, 40.0]	unsure	[60.0, 40.0]
array collaborates rice	implausible	a-a-c	[4, 1, 1, 5, 4, 5, 1, 1, 4]	unsure	[44.44444444444444, 0.0, 33.33333333333333, 22.22222222222222]	unsure	[55.55555555555556, 44.44444444444444]
arrogance exceeds glorification	implausible	a-a-a	[5, 2, 2, 5, 5, 4, 2, 4, 2, 4]	unsure	[0.0, 40.0, 30.0, 30.0]	unsure	[60.0, 40.0]
arrow wears chest	implausible	c-c-c	[1, 4, 1, 1, 1, 4, 4, 4, 4]	unsure	[44.44444444444444, 0.0, 55.55555555555556, 0.0]	unsure	[55.55555555555556, 44.44444444444444]
arsenal adulterates unit	implausible	m-m-m	[2, 4, 4, 5, 2, 4, 1, 5, 2]	unsure	[11.11111111111111, 33.33333333333333, 33.33333333333333, 22.22222222222222]	unsure	[55.55555555555556, 44.44444444444444]
aspiration creates girl	implausible	a-m-c	[5, 4, 4, 5, 2, 4, 4, 2, 1, 4]	unsure	[10.0, 20.0, 50.0, 20.0]	1	[70.0, 30.0]
assailant outlives death	implausible	m-a-m	[2, 5, 1, 2, 4, 1, 1, 4]	unsure	[37.5, 25.0, 25.0, 12.5]	unsure	[37.5, 62.5]
assembly leaves fringe	implausible	m-m-m	[5, 4, 4, 4, 1, 5, 4, 2]	unsure	[12.5, 12.5, 50.0, 25.0]	1	[75.0, 25.0]
assignment breaks optimism	implausible	m-c-a	[2, 4, 5, 2, 2, 4, 4, 5, 4]	unsure	[0.0, 33.33333333333333, 44.44444444444444, 22.22222222222222]	unsure	[66.66666666666666, 33.33333333333333]
assistant provides condom	implausible	m-m-c	[5, 1, 4, 1, 4, 1, 5, 2, 1, 5]	unsure	[40.0, 10.0, 20.0, 30.0]	unsure	[50.0, 50.0]
assistant scuttles reference	implausible	m-c-a	[4, 5, 4, 4, 5, 4, 4, 4]	unsure	[0.0, 0.0, 75.0, 25.0]	1	[100.0, 0.0]
association perceives excitation	implausible	a-a-a	[2, 5, 4, 5, 5, 4, 2, 1, 2]	unsure	[11.11111111111111, 33.33333333333333, 22.22222222222222, 33.33333333333333]	unsure	[55.55555555555556, 44.44444444444444]
assortment reworks ladle	implausible	a-m-c	[5, 2, 4, 5, 2, 1, 1, 4, 5, 1]	unsure	[30.0, 20.0, 20.0, 30.0]	unsure	[50.0, 50.0]
astrophysicist passes excavation	implausible	m-m-m	[2, 4, 1, 4, 5, 1, 2, 4, 4]	unsure	[22.22222222222222, 22.22222222222222, 44.44444444444444, 11.11111111111111]	unsure	[55.55555555555556, 44.44444444444444]
attacker talks nose	implausible	m-c-c	[5, 5, 4, 1, 5, 1, 4, 5]	unsure	[25.0, 0.0, 25.0, 50.0]	1	[75.0, 25.0]
attempt redirects notoriety	implausible	a-a-a	[5, 4, 5, 4, 4, 1, 2, 2]	unsure	[12.5, 25.0, 37.5, 25.0]	unsure	[62.5, 37.5]
attendee uncovers interview	implausible	m-c-m	[5, 5, 4, 4, 4, 5, 4, 5, 4, 5]	unsure	[0.0, 0.0, 50.0, 50.0]	1	[100.0, 0.0]
aura inflicts encyclopedia	implausible	a-m-c	[4, 5, 2, 2, 4, 2, 4, 1, 2]	unsure	[11.11111111111111, 44.44444444444444, 33.33333333333333, 11.11111111111111]	unsure	[44.44444444444444, 55.55555555555556]
authority clamps refund	implausible	a-c-m	[2, 4, 2, 1, 4, 5, 4, 5, 4]	unsure	[11.11111111111111, 22.22222222222222, 44.44444444444444, 22.22222222222222]	unsure	[66.66666666666666, 33.33333333333333]
authority gathers ribbon	implausible	a-m-c	[4, 4, 4, 4, 2, 2, 4, 4, 2, 4]	unsure	[0.0, 30.0, 70.0, 0.0]	1	[70.0, 30.0]
authority ignites greatness	implausible	a-c-a	[4, 4, 2, 4, 4, 5, 2, 5, 5, 4]	unsure	[0.0, 20.0, 50.0, 30.0]	1	[80.0, 20.0]
authority inserts copulation	implausible	a-m-m	[5, 4, 4, 4, 4, 4, 4, 4, 5]	unsure	[0.0, 0.0, 77.77777777777779, 22.22222222222222]	1	[100.0, 0.0]
authorship declines spinner	implausible	a-m-m	[4, 1, 4, 2, 1, 1, 1, 4, 1, 5]	unsure	[50.0, 10.0, 30.0, 10.0]	unsure	[40.0, 60.0]
authorship distorts end	implausible	a-m-m	[4, 2, 2, 2, 4, 1, 5, 4]	unsure	[12.5, 37.5, 37.5, 12.5]	unsure	[50.0, 50.0]
backpack admires opposition	implausible	c-a-a	[4, 1, 1, 5, 1, 4, 1, 5, 4]	unsure	[44.44444444444444, 0.0, 33.33333333333333, 22.22222222222222]	unsure	[55.55555555555556, 44.44444444444444]
bag overruns string	implausible	c-m-c	[4, 1, 2, 5, 1, 2, 5, 1, 2]	unsure	[33.33333333333333, 33.33333333333333, 11.11111111111111, 22.22222222222222]	unsure	[33.33333333333333, 66.66666666666666]
ballot rolls office	implausible	c-c-c	[4, 5, 1, 5, 5, 4, 2, 4, 4, 5]	unsure	[10.0, 10.0, 40.0, 40.0]	1	[80.0, 20.0]
band ignites photon	implausible	c-c-m	[5, 4, 2, 1, 2, 1, 1, 2, 1, 1]	unsure	[50.0, 30.0, 10.0, 10.0]	0	[20.0, 80.0]
band impresses teamwork	implausible	c-a-a	[5, 4, 1, 4, 5, 4, 2, 2, 5, 5]	unsure	[10.0, 20.0, 30.0, 40.0]	1	[70.0, 30.0]
band leaves villain	implausible	c-m-m	[4, 1, 2, 1, 2, 5, 1, 1, 4]	unsure	[44.44444444444444, 22.22222222222222, 22.22222222222222, 11.11111111111111]	unsure	[33.33333333333333, 66.66666666666666]
bandleader solves tail	implausible	c-a-c	[5, 1, 4, 5, 4, 1, 4, 4, 2]	unsure	[22.22222222222222, 11.11111111111111, 44.44444444444444, 22.22222222222222]	unsure	[66.66666666666666, 33.33333333333333]
bank destabilizes library	implausible	c-a-c	[1, 4, 1, 2, 5, 2, 2, 4, 4]	unsure	[22.22222222222222, 33.33333333333333, 33.33333333333333, 11.11111111111111]	unsure	[44.44444444444444, 55.55555555555556]
bank stops book	implausible	c-c-c	[5, 4, 1, 4, 1, 4, 4, 4, 1, 2]	unsure	[30.0, 10.0, 50.0, 10.0]	unsure	[60.0, 40.0]
bar betrays name	implausible	c-a-m	[5, 5, 4, 2, 5, 4, 1, 2, 1]	unsure	[22.22222222222222, 22.22222222222222, 22.22222222222222, 33.33333333333333]	unsure	[55.55555555555556, 44.44444444444444]
bartender chooses thing	implausible	c-m-m	[4, 4, 4, 5, 4, 2, 5, 4]	unsure	[0.0, 12.5, 62.5, 25.0]	1	[87.5, 12.5]
bat has slate	implausible	c-a-c	[2, 2, 2, 1, 4, 5, 4, 2, 1]	unsure	[22.22222222222222, 44.44444444444444, 22.22222222222222, 11.11111111111111]	unsure	[33.33333333333333, 66.66666666666666]
batch corroborates rage	implausible	m-a-m	[4, 4, 1, 2, 1, 4, 5, 2, 1, 2]	unsure	[30.0, 30.0, 30.0, 10.0]	unsure	[40.0, 60.0]
battalion extrapolates archive	implausible	m-a-m	[4, 5, 2, 4, 4, 4, 4, 1]	unsure	[12.5, 12.5, 62.5, 12.5]	1	[75.0, 25.0]
battleship expands cargo	implausible	c-c-c	[2, 4, 2, 4, 2, 5, 4, 5, 4, 4]	unsure	[0.0, 30.0, 50.0, 20.0]	1	[70.0, 30.0]
battleship terrifies species	implausible	c-m-m	[5, 5, 5, 4, 1, 5, 4, 5, 5, 4]	unsure	[10.0, 0.0, 30.0, 60.0]	1	[90.0, 10.0]
bazaar covers costume	implausible	m-c-c	[5, 5, 4, 4, 4, 5, 1, 2, 4]	unsure	[11.11111111111111, 11.11111111111111, 44.44444444444444, 33.33333333333333]	1	[77.77777777777779, 22.22222222222222]
beach picks involvement	implausible	c-c-a	[2, 4, 4, 1, 4, 4, 4, 4, 4]	unsure	[11.11111111111111, 11.11111111111111, 77.77777777777779, 0.0]	1	[77.77777777777779, 22.22222222222222]
bedroom reaches nodule	implausible	c-c-m	[4, 4, 2, 2, 4, 2, 1, 5]	unsure	[12.5, 37.5, 37.5, 12.5]	unsure	[50.0, 50.0]
beginning mentions side	implausible	a-m-m	[4, 4, 4, 1, 5, 1, 2, 1, 1, 5]	unsure	[40.0, 10.0, 30.0, 20.0]	unsure	[50.0, 50.0]
beginning steals story	implausible	a-c-m	[4, 5, 4, 1, 4, 5, 5, 4, 5, 2]	unsure	[10.0, 10.0, 40.0, 40.0]	1	[80.0, 20.0]
belief sings fusion	implausible	a-c-m	[5, 4, 4, 1, 2, 1, 1, 4, 5]	unsure	[33.33333333333333, 11.11111111111111, 33.33333333333333, 22.22222222222222]	unsure	[55.55555555555556, 44.44444444444444]
bell sets withdrawal	implausible	c-c-a	[1, 4, 4, 2, 1, 5, 4, 4]	unsure	[25.0, 12.5, 50.0, 12.5]	unsure	[62.5, 37.5]
betrothal eats form	implausible	a-c-m	[1, 1, 5, 4, 4, 1, 5, 4, 1, 1]	unsure	[50.0, 0.0, 30.0, 20.0]	unsure	[50.0, 50.0]
bibliography sets person	implausible	m-c-c	[4, 5, 4, 4, 5, 4, 5, 1]	unsure	[12.5, 0.0, 50.0, 37.5]	1	[87.5, 12.5]
biker characterizes subtype	implausible	c-a-a	[4, 5, 4, 5, 4, 4, 4, 1, 4]	unsure	[11.11111111111111, 0.0, 66.66666666666666, 22.22222222222222]	1	[88.88888888888889, 11.11111111111111]
birthplace revisits episode	implausible	m-m-m	[2, 2, 2, 4, 2, 5, 1, 4]	unsure	[12.5, 50.0, 25.0, 12.5]	unsure	[37.5, 62.5]
bison provides grandfather	implausible	c-m-c	[4, 4, 1, 1, 4, 2, 1, 1, 4]	unsure	[44.44444444444444, 11.11111111111111, 44.44444444444444, 0.0]	unsure	[44.44444444444444, 55.55555555555556]
blueprint reestablishes scenery	implausible	c-m-m	[1, 1, 1, 5, 4, 4, 5, 2]	unsure	[37.5, 12.5, 25.0, 25.0]	unsure	[50.0, 50.0]
boar swaps name	implausible	c-c-m	[1, 4, 4, 5, 4, 5, 5, 5, 4]	unsure	[11.11111111111111, 0.0, 44.44444444444444, 44.44444444444444]	1	[88.88888888888889, 11.11111111111111]
boardwalk awaits disk	implausible	c-a-c	[5, 1, 2, 4, 4, 4, 4, 1]	unsure	[25.0, 12.5, 50.0, 12.5]	unsure	[62.5, 37.5]
boat occurs discrimination	implausible	c-a-a	[5, 2, 1, 5, 4, 1, 1, 5]	unsure	[37.5, 12.5, 12.5, 37.5]	unsure	[50.0, 50.0]
bodice abandons number	implausible	c-m-m	[4, 2, 4, 2, 4, 1, 2, 5, 2]	unsure	[11.11111111111111, 44.44444444444444, 33.33333333333333, 11.11111111111111]	unsure	[44.44444444444444, 55.55555555555556]
body gathers suspension	implausible	c-m-m	[2, 2, 2, 4, 4, 5, 4, 1, 2, 1]	unsure	[20.0, 40.0, 30.0, 10.0]	unsure	[40.0, 60.0]
body precludes ordination	implausible	c-a-a	[4, 4, 4, 4, 2, 4, 5, 1]	unsure	[12.5, 12.5, 62.5, 12.5]	1	[75.0, 25.0]
book checks fitness	implausible	c-c-m	[1, 5, 4, 4, 2, 4, 2, 5]	unsure	[12.5, 25.0, 37.5, 25.0]	unsure	[62.5, 37.5]
book realizes size	implausible	c-a-m	[4, 5, 4, 2, 5, 2, 4, 5]	unsure	[0.0, 25.0, 37.5, 37.5]	1	[75.0, 25.0]
bowl provides siege	implausible	c-m-m	[5, 2, 2, 1, 5, 1, 2, 5, 5]	unsure	[22.22222222222222, 33.33333333333333, 0.0, 44.44444444444444]	unsure	[44.44444444444444, 55.55555555555556]
brain conceptualizes piano	implausible	c-a-c	[4, 2, 4, 2, 4, 2, 2, 4, 1, 4]	unsure	[10.0, 40.0, 50.0, 0.0]	unsure	[50.0, 50.0]
branch stays independence	implausible	c-a-a	[1, 2, 1, 4, 2, 4, 4, 5, 1, 4]	unsure	[30.0, 20.0, 40.0, 10.0]	unsure	[50.0, 50.0]
branch travels realization	implausible	c-c-a	[1, 5, 5, 5, 5, 4, 1, 4, 4]	unsure	[22.22222222222222, 0.0, 33.33333333333333, 44.44444444444444]	1	[77.77777777777779, 22.22222222222222]
brass differs number	implausible	c-a-m	[1, 4, 1, 2, 4, 2, 1, 4, 2]	unsure	[33.33333333333333, 33.33333333333333, 33.33333333333333, 0.0]	unsure	[33.33333333333333, 66.66666666666666]
brass subverts confluence	implausible	c-a-a	[2, 1, 4, 1, 4, 5, 4, 2]	unsure	[25.0, 25.0, 37.5, 12.5]	unsure	[50.0, 50.0]
breach accelerates seat	implausible	a-c-c	[1, 5, 4, 2, 2, 1, 1, 2, 1]	unsure	[44.44444444444444, 33.33333333333333, 11.11111111111111, 11.11111111111111]	0	[22.22222222222222, 77.77777777777779]
bridge itemizes manufacturer	implausible	c-m-m	[1, 4, 5, 4, 5, 2, 4, 1, 4]	unsure	[22.22222222222222, 11.11111111111111, 44.44444444444444, 22.22222222222222]	unsure	[66.66666666666666, 33.33333333333333]
broadcast concentrates alignment	implausible	m-m-m	[4, 1, 2, 4, 2, 4, 1, 5]	unsure	[25.0, 25.0, 37.5, 12.5]	unsure	[50.0, 50.0]
broker dominates kebab	implausible	m-a-c	[2, 1, 4, 5, 5, 4, 4, 5, 2]	unsure	[11.11111111111111, 22.22222222222222, 33.33333333333333, 33.33333333333333]	unsure	[66.66666666666666, 33.33333333333333]
building correlates congestion	implausible	c-a-m	[5, 4, 4, 4, 4, 4, 2, 4, 5]	unsure	[0.0, 11.11111111111111, 66.66666666666666, 22.22222222222222]	1	[88.88888888888889, 11.11111111111111]
building misplaces ingredient	implausible	c-m-m	[4, 4, 2, 1, 2, 4, 4, 1]	unsure	[25.0, 25.0, 50.0, 0.0]	unsure	[50.0, 50.0]
building postdates connotation	implausible	c-m-a	[4, 4, 5, 4, 2, 5, 5, 4, 4]	unsure	[0.0, 11.11111111111111, 55.55555555555556, 33.33333333333333]	1	[88.88888888888889, 11.11111111111111]
building understates food	implausible	c-a-c	[4, 4, 4, 4, 2, 5, 2, 1, 4]	unsure	[11.11111111111111, 22.22222222222222, 55.55555555555556, 11.11111111111111]	unsure	[66.66666666666666, 33.33333333333333]
building wishes town	implausible	c-a-c	[4, 5, 4, 5, 2, 4, 5, 1, 1, 4]	unsure	[20.0, 10.0, 40.0, 30.0]	1	[70.0, 30.0]
bull imprisons quality	implausible	c-c-a	[5, 5, 2, 1, 1, 5, 1, 2, 1, 4, 2, 1]	unsure	[41.66666666666667, 25.0, 8.333333333333332, 25.0]	unsure	[33.33333333333333, 66.66666666666666]
bullet manipulates aide	implausible	c-m-m	[5, 2, 4, 4, 2, 4, 4, 4, 1]	unsure	[11.11111111111111, 22.22222222222222, 55.55555555555556, 11.11111111111111]	unsure	[66.66666666666666, 33.33333333333333]
bullfighter annihilates trademark	implausible	c-m-m	[4, 4, 2, 5, 4, 4, 4, 4]	unsure	[0.0, 12.5, 75.0, 12.5]	1	[87.5, 12.5]
bunch puts pace	implausible	m-m-m	[1, 4, 4, 4, 1, 4, 4, 4, 2]	unsure	[22.22222222222222, 11.11111111111111, 66.66666666666666, 0.0]	unsure	[66.66666666666666, 33.33333333333333]
burial forgets documentation	implausible	m-a-m	[2, 1, 1, 2, 5, 2, 5, 4, 4, 4]	unsure	[20.0, 30.0, 30.0, 20.0]	unsure	[50.0, 50.0]
burial sustains insecurity	implausible	m-a-a	[4, 2, 4, 4, 2, 1, 1, 1, 4]	unsure	[33.33333333333333, 22.22222222222222, 44.44444444444444, 0.0]	unsure	[44.44444444444444, 55.55555555555556]
cable injures rent	implausible	c-c-m	[4, 1, 4, 4, 4, 1, 1, 4, 5]	unsure	[33.33333333333333, 0.0, 55.55555555555556, 11.11111111111111]	unsure	[66.66666666666666, 33.33333333333333]
camera fictionalizes contour	implausible	c-a-m	[1, 5, 4, 4, 5, 2, 1, 2, 2, 1]	unsure	[30.0, 30.0, 20.0, 20.0]	unsure	[40.0, 60.0]
campus persuades scenery	implausible	c-a-m	[4, 5, 1, 4, 2, 4, 2, 5]	unsure	[12.5, 25.0, 37.5, 25.0]	unsure	[62.5, 37.5]
canal exposes noun	implausible	c-c-m	[4, 5, 4, 2, 5, 4, 4, 4, 5]	unsure	[0.0, 11.11111111111111, 55.55555555555556, 33.33333333333333]	1	[88.88888888888889, 11.11111111111111]
candidate overruns floodlight	implausible	m-m-c	[2, 1, 4, 2, 1, 2, 5, 5]	unsure	[25.0, 37.5, 12.5, 25.0]	unsure	[37.5, 62.5]
capacitor misunderstands reference	implausible	m-a-a	[5, 2, 1, 1, 4, 4, 1, 2]	unsure	[37.5, 25.0, 25.0, 12.5]	unsure	[37.5, 62.5]
caper extracts finger	implausible	m-c-c	[4, 1, 2, 1, 4, 5, 5, 5]	unsure	[25.0, 12.5, 25.0, 37.5]	unsure	[62.5, 37.5]
caper reconciles barley	implausible	m-a-c	[4, 4, 2, 1, 4, 4, 1, 4, 4, 4]	unsure	[20.0, 10.0, 70.0, 0.0]	1	[70.0, 30.0]
career reestablishes chicken	implausible	a-m-c	[1, 4, 4, 2, 5, 5, 1, 1, 4]	unsure	[33.33333333333333, 11.11111111111111, 33.33333333333333, 22.22222222222222]	unsure	[55.55555555555556, 44.44444444444444]
career steers gargoyle	implausible	a-c-c	[1, 1, 1, 5, 4, 1, 1, 5, 4, 4]	unsure	[50.0, 0.0, 30.0, 20.0]	unsure	[50.0, 50.0]
case hunts tent	implausible	m-c-c	[4, 5, 4, 4, 4, 1, 5, 4, 4, 1]	unsure	[20.0, 0.0, 60.0, 20.0]	1	[80.0, 20.0]
case negates supporter	implausible	m-a-m	[1, 5, 4, 2, 2, 4, 1, 5, 5, 4]	unsure	[20.0, 20.0, 30.0, 30.0]	unsure	[60.0, 40.0]
castle negates range	implausible	c-a-m	[1, 4, 1, 5, 1, 4, 4, 1]	unsure	[50.0, 0.0, 37.5, 12.5]	unsure	[50.0, 50.0]
catfish reissues authority	implausible	c-a-a	[1, 1, 1, 4, 2, 2, 2, 2]	unsure	[37.5, 50.0, 12.5, 0.0]	0	[12.5, 87.5]
cathedral helps ordination	implausible	c-m-a	[4, 4, 1, 4, 1, 5, 4, 4, 4, 2]	unsure	[20.0, 10.0, 60.0, 10.0]	1	[70.0, 30.0]
cavalry frustrates ceremony	implausible	m-a-m	[4, 2, 4, 4, 4, 1, 5, 4, 4]	unsure	[11.11111111111111, 11.11111111111111, 66.66666666666666, 11.11111111111111]	1	[77.77777777777779, 22.22222222222222]
cavalry invalidates edition	implausible	m-a-m	[4, 5, 4, 4, 4, 1, 4, 1]	unsure	[25.0, 0.0, 62.5, 12.5]	1	[75.0, 25.0]
cave complicates firework	implausible	c-a-c	[5, 1, 2, 4, 2, 2, 4, 2]	unsure	[12.5, 50.0, 25.0, 12.5]	unsure	[37.5, 62.5]
celebration pleads robot	implausible	m-m-c	[2, 1, 4, 5, 1, 2, 1, 5, 4]	unsure	[33.33333333333333, 22.22222222222222, 22.22222222222222, 22.22222222222222]	unsure	[44.44444444444444, 55.55555555555556]
ceremony distributes book	implausible	m-m-c	[5, 5, 4, 4, 1, 5, 4, 4, 4, 4]	unsure	[10.0, 0.0, 60.0, 30.0]	1	[90.0, 10.0]
chalk annoys interest	implausible	c-a-a	[2, 4, 4, 2, 1, 5, 1, 4, 4]	unsure	[22.22222222222222, 22.22222222222222, 44.44444444444444, 11.11111111111111]	unsure	[55.55555555555556, 44.44444444444444]
chat selects glorification	implausible	m-m-a	[1, 5, 5, 4, 4, 5, 5, 5]	unsure	[12.5, 0.0, 25.0, 62.5]	1	[87.5, 12.5]
chat sells secretion	implausible	m-c-m	[1, 4, 5, 2, 1, 5, 5, 1]	unsure	[37.5, 12.5, 12.5, 37.5]	unsure	[50.0, 50.0]
child demolishes railway	implausible	c-c-c	[2, 1, 5, 2, 2, 4, 5, 1, 4]	unsure	[22.22222222222222, 33.33333333333333, 22.22222222222222, 22.22222222222222]	unsure	[44.44444444444444, 55.55555555555556]
child entertains mouse	implausible	c-m-c	[1, 4, 4, 4, 4, 5, 4, 4, 1, 4]	unsure	[20.0, 0.0, 70.0, 10.0]	1	[80.0, 20.0]
child predates neuron	implausible	c-m-m	[4, 4, 4, 5, 2, 1, 4, 4, 4]	unsure	[11.11111111111111, 11.11111111111111, 66.66666666666666, 11.11111111111111]	1	[77.77777777777779, 22.22222222222222]
child realizes bee	implausible	c-a-c	[1, 4, 1, 5, 5, 1, 4, 5, 2]	unsure	[33.33333333333333, 11.11111111111111, 22.22222222222222, 33.33333333333333]	unsure	[55.55555555555556, 44.44444444444444]
chimpanzee reconnects prediction	implausible	c-m-a	[1, 2, 4, 4, 4, 1, 5, 5, 5, 1]	unsure	[30.0, 10.0, 30.0, 30.0]	unsure	[60.0, 40.0]
chorus eludes application	implausible	m-m-m	[4, 1, 4, 4, 4, 4, 4, 5]	unsure	[12.5, 0.0, 75.0, 12.5]	1	[87.5, 12.5]
church consumes misanthropy	implausible	c-c-a	[4, 4, 1, 5, 4, 5, 1, 1, 2]	unsure	[33.33333333333333, 11.11111111111111, 33.33333333333333, 22.22222222222222]	unsure	[55.55555555555556, 44.44444444444444]
church defies stamp	implausible	c-a-c	[4, 4, 2, 2, 4, 5, 1, 1, 4, 2]	unsure	[20.0, 30.0, 40.0, 10.0]	unsure	[50.0, 50.0]
church renames wine	implausible	c-m-c	[4, 1, 5, 4, 4, 4, 5, 5, 1]	unsure	[22.22222222222222, 0.0, 44.44444444444444, 33.33333333333333]	1	[77.77777777777779, 22.22222222222222]
cigarette throws camel	implausible	c-c-c	[2, 1, 1, 1, 1, 2, 1, 2]	unsure	[62.5, 37.5, 0.0, 0.0]	0	[0.0, 100.0]
cinema hurls joy	implausible	c-c-a	[4, 5, 2, 5, 4, 2, 4, 5, 4, 4]	unsure	[0.0, 20.0, 50.0, 30.0]	1	[80.0, 20.0]
circuit cuts treasury	implausible	m-c-m	[4, 4, 1, 1, 1, 1, 1, 2]	unsure	[62.5, 12.5, 25.0, 0.0]	0	[25.0, 75.0]
circuit transcends driver	implausible	m-a-c	[1, 1, 1, 4, 2, 1, 4, 5, 1, 4]	unsure	[50.0, 10.0, 30.0, 10.0]	unsure	[40.0, 60.0]
city disengages telegram	implausible	c-m-c	[5, 2, 2, 5, 1, 2, 4, 4, 1]	unsure	[22.22222222222222, 33.33333333333333, 22.22222222222222, 22.22222222222222]	unsure	[44.44444444444444, 55.55555555555556]
city folds fruit	implausible	c-c-c	[1, 1, 2, 2, 4, 5, 4, 1, 1, 1]	unsure	[50.0, 20.0, 20.0, 10.0]	0	[30.0, 70.0]
city hangs intake	implausible	c-c-m	[5, 4, 4, 2, 4, 1, 4, 1, 4]	unsure	[22.22222222222222, 11.11111111111111, 55.55555555555556, 11.11111111111111]	unsure	[66.66666666666666, 33.33333333333333]
class disembarks antiquity	implausible	m-m-a	[4, 2, 5, 5, 1, 2, 5, 5, 4]	unsure	[11.11111111111111, 22.22222222222222, 22.22222222222222, 44.44444444444444]	unsure	[66.66666666666666, 33.33333333333333]
classification hauls slavery	implausible	a-c-m	[1, 4, 5, 4, 5, 5, 4, 2]	unsure	[12.5, 12.5, 37.5, 37.5]	1	[75.0, 25.0]
clique discontinues graph	implausible	a-m-c	[5, 2, 2, 2, 2, 4, 4, 4, 2, 5]	unsure	[0.0, 50.0, 30.0, 20.0]	unsure	[50.0, 50.0]
club identifies equality	implausible	m-m-a	[4, 5, 4, 4, 4, 1, 5, 2, 4, 4]	unsure	[10.0, 10.0, 60.0, 20.0]	1	[80.0, 20.0]
clutch robs superiority	implausible	m-c-a	[1, 1, 4, 4, 1, 2, 1, 1, 4, 4]	unsure	[50.0, 10.0, 40.0, 0.0]	unsure	[40.0, 60.0]
coal carries adaption	implausible	c-c-a	[2, 4, 2, 4, 1, 4, 1, 5, 5]	unsure	[22.22222222222222, 22.22222222222222, 33.33333333333333, 22.22222222222222]	unsure	[55.55555555555556, 44.44444444444444]
coat imparts album	implausible	c-a-c	[4, 4, 4, 1, 4, 2, 4, 1, 1]	unsure	[33.33333333333333, 11.11111111111111, 55.55555555555556, 0.0]	unsure	[55.55555555555556, 44.44444444444444]
cobblestone imitates envelope	implausible	c-m-c	[2, 4, 1, 4, 4, 4, 2, 4, 4, 5]	unsure	[10.0, 20.0, 60.0, 10.0]	1	[70.0, 30.0]
codex hypnotizes mentality	implausible	m-m-a	[4, 1, 4, 5, 1, 4, 5, 2]	unsure	[25.0, 12.5, 37.5, 25.0]	unsure	[62.5, 37.5]
coefficient dedicates village	implausible	a-m-c	[4, 5, 4, 4, 4, 5, 5, 5, 4]	unsure	[0.0, 0.0, 55.55555555555556, 44.44444444444444]	1	[100.0, 0.0]
coefficient perpetuates side	implausible	a-a-m	[5, 4, 4, 4, 4, 1, 4, 4, 1]	unsure	[22.22222222222222, 0.0, 66.66666666666666, 11.11111111111111]	1	[77.77777777777779, 22.22222222222222]
coliseum nullifies detonation	implausible	c-a-m	[4, 5, 4, 1, 5, 4, 4, 1, 1, 4]	unsure	[30.0, 0.0, 50.0, 20.0]	1	[70.0, 30.0]
collaboration facilitates ambience	implausible	a-a-a	[5, 4, 2, 2, 5, 2, 5, 2, 4]	unsure	[0.0, 44.44444444444444, 22.22222222222222, 33.33333333333333]	unsure	[55.55555555555556, 44.44444444444444]
collection epitomizes serviceman	implausible	m-a-c	[4, 5, 4, 5, 4, 5, 4, 5]	unsure	[0.0, 0.0, 50.0, 50.0]	1	[100.0, 0.0]
collection needs autonomy	implausible	m-a-a	[4, 4, 5, 5, 4, 5, 5, 1]	unsure	[12.5, 0.0, 37.5, 50.0]	1	[87.5, 12.5]
collection participates armband	implausible	m-m-c	[5, 4, 4, 1, 1, 1, 5, 4]	unsure	[37.5, 0.0, 37.5, 25.0]	unsure	[62.5, 37.5]
collector pummels stage	implausible	m-c-c	[5, 1, 1, 1, 4, 5, 1, 4, 4]	unsure	[44.44444444444444, 0.0, 33.33333333333333, 22.22222222222222]	unsure	[55.55555555555556, 44.44444444444444]
colonization comprises roadblock	implausible	a-a-c	[5, 5, 1, 1, 5, 1, 1, 5]	unsure	[50.0, 0.0, 0.0, 50.0]	unsure	[50.0, 50.0]
colonization drops seat	implausible	a-c-c	[2, 5, 2, 1, 4, 2, 1, 1, 2]	unsure	[33.33333333333333, 44.44444444444444, 11.11111111111111, 11.11111111111111]	0	[22.22222222222222, 77.77777777777779]
colonization strengthens evidence	implausible	a-m-m	[5, 4, 2, 2, 4, 4, 1, 5]	unsure	[12.5, 25.0, 37.5, 25.0]	unsure	[62.5, 37.5]
comedian conducts suspension	implausible	m-a-m	[2, 4, 4, 5, 4, 4, 1, 5, 5, 1, 4]	unsure	[18.181818181818183, 9.090909090909092, 45.45454545454545, 27.27272727272727]	1	[72.72727272727273, 27.27272727272727]
commoner endows decade	implausible	m-m-m	[4, 4, 4, 4, 1, 1, 5, 2, 1, 1]	unsure	[40.0, 10.0, 40.0, 10.0]	unsure	[50.0, 50.0]
